Mar 30, 2023 12:12:30 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Mar 30, 2023 12:12:30 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Mar 30, 2023 12:12:30 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-03-30T12:12:31,833 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.0.14 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-03-30T12:12:31,837 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.command.acl.bundle} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.apache.karaf.command.acl.bundle.cfg
2023-03-30T12:12:31,847 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.command.acl.kar} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.apache.karaf.command.acl.kar.cfg
2023-03-30T12:12:31,855 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {jmx.acl} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/jmx.acl.cfg
2023-03-30T12:12:31,861 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.opennms.features.topology.app.icons.bsm} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.opennms.features.topology.app.icons.bsm.cfg
2023-03-30T12:12:31,867 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.kar} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.apache.karaf.kar.cfg
2023-03-30T12:12:31,872 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {jmx.acl.org.apache.karaf.bundle} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/jmx.acl.org.apache.karaf.bundle.cfg
2023-03-30T12:12:31,879 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {jmx.acl.osgi.compendium.cm} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/jmx.acl.osgi.compendium.cm.cfg
2023-03-30T12:12:31,887 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.opennms.features.topology.app.icons.application} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.opennms.features.topology.app.icons.application.cfg
2023-03-30T12:12:31,894 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.features} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.apache.karaf.features.cfg
2023-03-30T12:12:31,901 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.command.acl.jaas} from /home/epousa/dev/opennms/target/opennms-32.0.0-SNAPSHOT/etc/org.apache.karaf.command.acl.jaas.cfg
2023-03-30T12:12:32,784 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 | Adding features: opennms-config-management-osgi-cm/[32.0.0.SNAPSHOT,32.0.0.SNAPSHOT],bundle/[4.3.6,4.3.6],service/[4.3.6,4.3.6],diagnostic/[4.3.6,4.3.6],aries-blueprint/[4.3.6,4.3.6],package/[4.3.6,4.3.6],deployer/[4.3.6,4.3.6],ssh/[4.3.6,4.3.6],kar/[4.3.6,4.3.6],feature/[4.3.6,4.3.6],config/[4.3.6,4.3.6],management/[4.3.6,4.3.6],framework/[4.3.6,4.3.6],eventadmin/[4.3.6,4.3.6],wrap/[2.6.10,2.6.10],shell-compat/[4.3.6,4.3.6],shell/[4.3.6,4.3.6],log/[4.3.6,4.3.6],jasypt-encryption/[4.3.6,4.3.6],i
2023-03-30T12:12:33,247 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 | Changes to perform:
2023-03-30T12:12:33,248 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |   Region: root
2023-03-30T12:12:33,248 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |     Bundles to install:
2023-03-30T12:12:33,248 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.bouncycastle/bcpkix-jdk15on/1.69
2023-03-30T12:12:33,248 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.bouncycastle/bcprov-jdk15on/1.69
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.bouncycastle/bcutil-jdk15on/1.69
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.json/json/20230227
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.3.2
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.3
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2023-03-30T12:12:33,249 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.12
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2023-03-30T12:12:33,250 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.3.6
2023-03-30T12:12:33,251 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.3.6
2023-03-30T12:12:33,251 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.3.6 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.3.6
